Codigo,Municipio
15550,PISBA
15572,PUERTO BOYACA
15580,QUIPAMA
15599,RAMIRIQUI
15600,RAQUIRA
15621,RONDON
15632,SABOYA
15638,SACHICA
15646,SAMACA
15660,SAN EDUARDO
15664,SAN JOSE DE PARE
15667,SAN LUIS DE GACENO
15673,SAN MATEO
15676,SAN MIGUEL DE SEMA
15681,SAN PABLO DE BORBUR
15686,SANTANA
15690,SANTA MARIA
15693,SANTA ROSA DE VITERBO
15696,SANTA SOFIA
15720,SATIVANORTE
15723,SATIVASUR
15740,SIACHOQUE
15753,SOATA
15755,SOCOTA
15757,SOCHA
15759,SOGAMOSO
15761,SOMONDOCO
15762,SORA
15763,SOTAQUIRA
15764,SORACA
15774,SUSACON
15776,SUTAMARCHAN
15778,SUTATENZA
15790,TASCO
15798,TENZA
15804,TIBANA
15806,TIBASOSA
15808,TINJACA
15810,TIPACOQUE
15814,TOCA
15816,TOGÜI
15820,TOPAGA
15822,TOTA
15832,TUNUNGUA
15835,TURMEQUE
15837,TUTA
15839,TUTAZA
15842,UMBITA
15861,VENTAQUEMADA
15879,VIRACACHA
15897,ZETAQUIRA
17001,MANIZALES
17013,AGUADAS
17042,ANSERMA
17050,ARANZAZU
17088,BELALCAZAR
17174,CHINCHINA
17272,FILADELFIA
17380,LA DORADA
17388,LA MERCED
17433,MANZANARES
17442,MARMATO
17444,MARQUETALIA
17446,MARULANDA
17486,NEIRA
17495,NORCASIA
17513,PACORA
17524,PALESTINA
17541,PENSILVANIA
17614,RIOSUCIO
17616,RISARALDA
17653,SALAMINA
17662,SAMANA
17665,SAN JOSE
17777,SUPIA
17867,VICTORIA
17873,VILLAMARIA
17877,VITERBO
18001,FLORENCIA
18029,ALBANIA
18094,BELEN DE LOS ANDAQUIES
18150,CARTAGENA DEL CHAIRA
18205,CURILLO
18247,EL DONCELLO
18256,EL PAUJIL
18410,LA MONTAÑITA
18460,MILAN
18479,MORELIA
18592,PUERTO RICO
18610,SAN JOSE DEL FRAGUA
18753,SAN VICENTE DEL CAGUAN
18756,SOLANO
18785,SOLITA
18860,VALPARAISO
19001,POPAYAN
19022,ALMAGUER
19050,ARGELIA
19075,BALBOA
19100,BOLIVAR
19110,BUENOS AIRES
19130,CAJIBIO
19137,CALDONO
19142,CALOTO
19212,CORINTO
19256,EL TAMBO
19290,FLORENCIA
19300,GUACHENE
19318,GUAPI
19355,INZA
19364,JAMBALO
19392,LA SIERRA
19397,LA VEGA
19418,LOPEZ
19450,MERCADERES
19455,MIRANDA
19473,MORALES
19513,PADILLA
19517,PAEZ
19532,PATIA
19533,PIAMONTE
19548,PIENDAMO
19573,PUERTO TEJADA
19585,PURACE
19622,ROSAS
19693,SAN SEBASTIAN
19698,SANTANDER DE QUILICHAO
19701,SANTA ROSA
19743,SILVIA
19760,SOTARA
19780,SUAREZ
19785,SUCRE
19807,TIMBIO
19809,TIMBIQUI
19821,TORIBIO
19824,TOTORO
19845,VILLA RICA
20001,VALLEDUPAR
20011,AGUACHICA
20013,AGUSTIN CODAZZI
20032,ASTREA
20045,BECERRIL
20060,BOSCONIA
20175,CHIMICHAGUA
20178,CHIRIGUANA
20228,CURUMANI
20238,EL COPEY
20250,EL PASO
20295,GAMARRA
20310,GONZALEZ
20383,LA GLORIA
20400,LA JAGUA DE IBIRICO
20443,MANAURE
20517,PAILITAS
20550,PELAYA
20570,PUEBLO BELLO
20614,RIO DE ORO
20621,LA PAZ
20710,SAN ALBERTO
20750,SAN DIEGO
20770,SAN MARTIN
20787,TAMALAMEQUE
23001,MONTERIA
23068,AYAPEL
23079,BUENAVISTA
23090,CANALETE
23162,CERETE
23168,CHIMA
23182,CHINU
23189,CIENAGA DE ORO
23300,COTORRA
23350,LA APARTADA
23417,LORICA
23419,LOS CORDOBAS
23464,MOMIL
23466,MONTELIBANO
23500,MOÑITOS
23555,PLANETA RICA
23570,PUEBLO NUEVO
23574,PUERTO ESCONDIDO
23580,PUERTO LIBERTADOR
23586,PURISIMA
23660,SAHAGUN
23670,SAN ANDRES SOTAVENTO
23672,SAN ANTERO
23675,SAN BERNARDO DEL VIENTO
23678,SAN CARLOS
23686,SAN PELAYO
23807,TIERRALTA
23855,VALENCIA
25001,AGUA DE DIOS
25019,ALBAN
25035,ANAPOIMA
25040,ANOLAIMA
25053,ARBELAEZ
25086,BELTRAN
25095,BITUIMA
25099,BOJACA
25120,CABRERA
25123,CACHIPAY
25126,CAJICA
25148,CAPARRAPI
25151,CAQUEZA
25154,CARMEN DE CARUPA
25168,CHAGUANI
25175,CHIA
25178,CHIPAQUE
25181,CHOACHI
25183,CHOCONTA
25200,COGUA
25214,COTA
25224,CUCUNUBA
25245,EL COLEGIO
25258,EL PEÑON
25260,EL ROSAL
25269,FACATATIVA
25279,FOMEQUE
25281,FOSCA
25286,FUNZA
25288,FUQUENE
25290,FUSAGASUGA
25293,GACHALA
25295,GACHANCIPA
25297,GACHETA
25299,GAMA
25307,GIRARDOT
25312,GRANADA
25317,GUACHETA
25320,GUADUAS
25322,GUASCA
25324,GUATAQUI
25326,GUATAVITA
25328,GUAYABAL DE SIQUIMA
25335,GUAYABETAL
25339,GUTIERREZ
25368,JERUSALEN
25372,JUNIN
25377,LA CALERA
25386,LA MESA
25394,LA PALMA
25398,LA PEÑA
25402,LA VEGA
25407,LENGUAZAQUE
25426,MACHETA
25430,MADRID
25436,MANTA
25438,MEDINA
25473,MOSQUERA
25483,NARIÑO
25486,NEMOCON
25488,NILO
25489,NIMAIMA
25491,NOCAIMA
25506,VENECIA
25513,PACHO
25518,PAIME
25524,PANDI
25530,PARATEBUENO
25535,PASCA
25572,PUERTO SALGAR
25580,PULI
25592,QUEBRADANEGRA
25594,QUETAME
25596,QUIPILE
25599,APULO
25612,RICAURTE
25645,SAN ANTONIO DEL TEQUENDAMA
25649,SAN BERNARDO
25653,SAN CAYETANO
25658,SAN FRANCISCO
25662,SAN JUAN DE RIO SECO
25718,SASAIMA
25736,SESQUILE
25740,SIBATE
25743,SILVANIA
25745,SIMIJACA
25754,SOACHA
25758,SOPO
25769,SUBACHOQUE
25772,SUESCA
25777,SUPATA
25779,SUSA
25781,SUTATAUSA
25785,TABIO
25793,TAUSA
25797,TENA
25799,TENJO
25805,TIBACUY
25807,TIBIRITA
25815,TOCAIMA
25817,TOCANCIPA
25823,TOPAIPI
25839,UBALA
25841,UBAQUE
25843,VILLA DE SAN DIEGO DE UBATE
25845,UNE
25851,UTICA
25862,VERGARA
25867,VIANI
25871,VILLAGOMEZ
25873,VILLAPINZON
25875,VILLETA
25878,VIOTA
25885,YACOPI
25898,ZIPACON
25899,ZIPAQUIRA
27001,QUIBDO
27006,ACANDI
27025,ALTO BAUDO
27050,ATRATO
27073,BAGADO
27075,BAHIA SOLANO
27077,BAJO BAUDO
27086,BELEN DE BAJIRA
27099,BOJAYA
27135,EL CANTON DEL SAN PABLO
27150,CARMEN DEL DARIEN
27160,CERTEGUI
27205,CONDOTO
27245,EL CARMEN DE ATRATO
27250,EL LITORAL DEL SAN JUAN
27361,ISTMINA
27372,JURADO
27413,LLORO
27425,MEDIO ATRATO
27430,MEDIO BAUDO
27450,MEDIO SAN JUAN
27491,NOVITA
27495,NUQUI
27580,RIO IRO
27600,RIO QUITO
27615,RIOSUCIO
27660,SAN JOSE DEL PALMAR
27745,SIPI
27787,TADO
27800,UNGUIA
27810,UNION PANAMERICANA
41001,NEIVA
41006,ACEVEDO
41013,AGRADO
41016,AIPE
41020,ALGECIRAS
41026,ALTAMIRA
41078,BARAYA
41132,CAMPOALEGRE
41206,COLOMBIA
41244,ELIAS
41298,GARZON
41306,GIGANTE
41319,GUADALUPE
41349,HOBO
41357,IQUIRA
41359,ISNOS
41378,LA ARGENTINA
41396,LA PLATA
41483,NATAGA
41503,OPORAPA
41518,PAICOL
41524,PALERMO
41530,PALESTINA
41548,PITAL
41551,PITALITO
41615,RIVERA
41660,SALADOBLANCO
41668,SAN AGUSTIN
41676,SANTA MARIA
41770,SUAZA
41791,TARQUI
41797,TESALIA
41799,TELLO
41801,TERUEL
41807,TIMANA
41872,VILLAVIEJA
41885,YAGUARA
44001,RIOHACHA
44035,ALBANIA
44078,BARRANCAS
44090,DIBULLA
44098,DISTRACCION
44110,EL MOLINO
44279,FONSECA
44378,HATONUEVO
44420,LA JAGUA DEL PILAR
44430,MAICAO
44560,MANAURE
44650,SAN JUAN DEL CESAR
44847,URIBIA
44855,URUMITA
44874,VILLANUEVA
47001,SANTA MARTA
47030,ALGARROBO
47053,ARACATACA
47058,ARIGUANI
47161,CERRO SAN ANTONIO
47170,CHIBOLO
47189,CIENAGA
47205,CONCORDIA
47245,EL BANCO
47258,EL PIÑON
47268,EL RETEN
47288,FUNDACION
47318,GUAMAL
47460,NUEVA GRANADA
47541,PEDRAZA
47545,PIJIÑO DEL CARMEN
47551,PIVIJAY
47555,PLATO
47570,PUEBLOVIEJO
47605,REMOLINO
47660,SABANAS DE SAN ANGEL
47675,SALAMINA
47692,SAN SEBASTIAN DE BUENAVISTA
47703,SAN ZENON
47707,SANTA ANA
47720,SANTA BARBARA DE PINTO
47745,SITIONUEVO
47798,TENERIFE
47960,ZAPAYAN
47980,ZONA BANANERA
50001,VILLAVICENCIO
50006,ACACIAS
50110,BARRANCA DE UPIA
50124,CABUYARO
50150,CASTILLA LA NUEVA
50223,CUBARRAL
50226,CUMARAL
50245,EL CALVARIO
50251,EL CASTILLO
50270,EL DORADO
50287,FUENTE DE ORO
50313,GRANADA
50318,GUAMAL
50325,MAPIRIPAN
50330,MESETAS
50350,LA MACARENA
50370,URIBE
50400,LEJANIAS
50450,PUERTO CONCORDIA
50568,PUERTO GAITAN
50573,PUERTO LOPEZ
50577,PUERTO LLERAS
50590,PUERTO RICO
50606,RESTREPO
50680,SAN CARLOS DE GUAROA
50683,SAN JUAN DE ARAMA
50686,SAN JUANITO
50689,SAN MARTIN
50711,VISTAHERMOSA
52001,PASTO
52019,ALBAN
52022,ALDANA
52036,ANCUYA
52051,ARBOLEDA
52079,BARBACOAS
52083,BELEN
52110,BUESACO
52203,COLON
52207,CONSACA
52210,CONTADERO
52215,CORDOBA
52224,CUASPUD
52227,CUMBAL
52233,CUMBITARA
52240,CHACHAGÜI
52250,EL CHARCO
52254,EL PEÑOL
52256,EL ROSARIO
52258,EL TABLON DE GOMEZ
52260,EL TAMBO
52287,FUNES
52317,GUACHUCAL
52320,GUAITARILLA
52323,GUALMATAN
52352,ILES
52354,IMUES
52356,IPIALES
52378,LA CRUZ
52381,LA FLORIDA
52385,LA LLANADA
52390,LA TOLA
52399,LA UNION
52405,LEIVA
52411,LINARES
52418,LOS ANDES
52427,MAGÜI
52435,MALLAMA
52473,MOSQUERA
52480,NARIÑO
52490,OLAYA HERRERA
52506,OSPINA
52520,FRANCISCO PIZARRO
52540,POLICARPA
52560,POTOSI
52565,PROVIDENCIA
52573,PUERRES
52585,PUPIALES
52612,RICAURTE
52621,ROBERTO PAYAN
52678,SAMANIEGO
52683,SANDONA
52685,SAN BERNARDO
52687,SAN LORENZO
52693,SAN PABLO
52694,SAN PEDRO DE CARTAGO
52696,SANTA BARBARA
52699,SANTACRUZ
52720,SAPUYES
52786,TAMINANGO
52788,TANGUA
52835,SAN ANDRES DE TUMACO
52838,TUQUERRES
52885,YACUANQUER
54001,CUCUTA
54003,ABREGO
54051,ARBOLEDAS
54099,BOCHALEMA
54109,BUCARASICA
54125,CACOTA
54128,CACHIRA
54172,CHINACOTA
54174,CHITAGA
54206,CONVENCION
54223,CUCUTILLA
54239,DURANIA
54245,EL CARMEN
54250,EL TARRA
54261,EL ZULIA
54313,GRAMALOTE
54344,HACARI
54347,HERRAN
54377,LABATECA
54385,LA ESPERANZA
54398,LA PLAYA
54405,LOS PATIOS
54418,LOURDES
54480,MUTISCUA
54498,OCAÑA
54518,PAMPLONA
54520,PAMPLONITA
54553,PUERTO SANTANDER
54599,RAGONVALIA
54660,SALAZAR
54670,SAN CALIXTO
54673,SAN CAYETANO
54680,SANTIAGO
54720,SARDINATA
54743,SILOS
54800,TEORAMA
54810,TIBU
54820,TOLEDO
54871,VILLA CARO
54874,VILLA DEL ROSARIO
63001,ARMENIA
63111,BUENAVISTA
63130,CALARCA
63190,CIRCASIA
63212,CORDOBA
63272,FILANDIA
63302,GENOVA
63401,LA TEBAIDA
63470,MONTENEGRO
63548,PIJAO
63594,QUIMBAYA
63690,SALENTO
66001,PEREIRA
66045,APIA
66075,BALBOA
66088,BELEN DE UMBRIA
66170,DOSQUEBRADAS
66318,GUATICA
66383,LA CELIA
66400,LA VIRGINIA
66440,MARSELLA
66456,MISTRATO
66572,PUEBLO RICO
66594,QUINCHIA
66682,SANTA ROSA DE CABAL
66687,SANTUARIO
68001,BUCARAMANGA
68013,AGUADA
68020,ALBANIA
68051,ARATOCA
68077,BARBOSA
68079,BARICHARA
68081,BARRANCABERMEJA
68092,BETULIA
68101,BOLIVAR
68121,CABRERA
68132,CALIFORNIA
68147,CAPITANEJO
68152,CARCASI
68160,CEPITA
68162,CERRITO
68167,CHARALA
68169,CHARTA
68176,CHIMA
68179,CHIPATA
68190,CIMITARRA
68207,CONCEPCION
68209,CONFINES
68211,CONTRATACION
68217,COROMORO
68229,CURITI
68235,EL CARMEN DE CHUCURI
68245,EL GUACAMAYO
68250,EL PEÑON
68255,EL PLAYON
68264,ENCINO
68266,ENCISO
68271,FLORIAN
68276,FLORIDABLANCA
68296,GALAN
68298,GAMBITA
68307,GIRON
68318,GUACA
68320,GUADALUPE
68322,GUAPOTA
68324,GUAVATA
68327,GÜEPSA
68344,HATO
68368,JESUS MARIA
68370,JORDAN
68377,LA BELLEZA
68385,LANDAZURI
68397,LA PAZ
68406,LEBRIJA
68418,LOS SANTOS
68425,MACARAVITA
68432,MALAGA
68444,MATANZA
68464,MOGOTES
68468,MOLAGAVITA
68498,OCAMONTE
68500,OIBA
68502,ONZAGA
68522,PALMAR
68524,PALMAS DEL SOCORRO
68533,PARAMO
68547,PIEDECUESTA
68549,PINCHOTE
68572,PUENTE NACIONAL
68573,PUERTO PARRA
68575,PUERTO WILCHES
68615,RIONEGRO
68655,SABANA DE TORRES
68669,SAN ANDRES
68673,SAN BENITO
68679,SAN GIL
68682,SAN JOAQUIN
68684,SAN JOSE DE MIRANDA
68686,SAN MIGUEL
68689,SAN VICENTE DE CHUCURI
68705,SANTA BARBARA
68720,SANTA HELENA DEL OPON
68745,SIMACOTA
68755,SOCORRO
68770,SUAITA
68773,SUCRE
68780,SURATA
68820,TONA
68855,VALLE DE SAN JOSE
68861,VELEZ
68867,VETAS
68872,VILLANUEVA
68895,ZAPATOCA
70001,SINCELEJO
70110,BUENAVISTA
70124,CAIMITO
70204,COLOSO
70215,COROZAL
70221,COVEÑAS
70230,CHALAN
70233,EL ROBLE
70235,GALERAS
70265,GUARANDA
70400,LA UNION
70418,LOS PALMITOS
70429,MAJAGUAL
70473,MORROA
70508,OVEJAS
70523,PALMITO
70670,SAMPUES
70678,SAN BENITO ABAD
70702,SAN JUAN DE BETULIA
70708,SAN MARCOS
70713,SAN ONOFRE
70717,SAN PEDRO
70742,SAN LUIS DE SINCE
70771,SUCRE
70820,SANTIAGO DE TOLU
70823,TOLU VIEJO
73001,IBAGUE
73024,ALPUJARRA
73026,ALVARADO
73030,AMBALEMA
73043,ANZOATEGUI
73055,ARMERO
73067,ATACO
73124,CAJAMARCA
73148,CARMEN DE APICALA
73152,CASABIANCA
73168,CHAPARRAL
73200,COELLO
73217,COYAIMA
73226,CUNDAY
73236,DOLORES
73268,ESPINAL
73270,FALAN
73275,FLANDES
73283,FRESNO
73319,GUAMO
73347,HERVEO
73349,HONDA
73352,ICONONZO
73408,LERIDA
73411,LIBANO
73443,MARIQUITA
73449,MELGAR
73461,MURILLO
73483,NATAGAIMA
73504,ORTEGA
73520,PALOCABILDO
73547,PIEDRAS
73555,PLANADAS
73563,PRADO
73585,PURIFICACION
73616,RIOBLANCO
73622,RONCESVALLES
73624,ROVIRA
73671,SALDAÑA
73675,SAN ANTONIO
73678,SAN LUIS
73686,SANTA ISABEL
73770,SUAREZ
73854,VALLE DE SAN JUAN
73861,VENADILLO
73870,VILLAHERMOSA
73873,VILLARRICA
76001,CALI
76020,ALCALA
76036,ANDALUCIA
76041,ANSERMANUEVO
76054,ARGELIA
76100,BOLIVAR
76109,BUENAVENTURA
76111,GUADALAJARA DE BUGA
76113,BUGALAGRANDE
76122,CAICEDONIA
76126,CALIMA
76130,CANDELARIA
76147,CARTAGO
76233,DAGUA
76243,EL AGUILA
76246,EL CAIRO
76248,EL CERRITO
76250,EL DOVIO
76275,FLORIDA
76306,GINEBRA
76318,GUACARI
76364,JAMUNDI
76377,LA CUMBRE
76400,LA UNION
76403,LA VICTORIA
76497,OBANDO
76520,PALMIRA
76563,PRADERA
76606,RESTREPO
76616,RIOFRIO
76622,ROLDANILLO
76670,SAN PEDRO
76736,SEVILLA
76823,TORO
76828,TRUJILLO
76834,TULUA
76845,ULLOA
76863,VERSALLES
76869,VIJES
76890,YOTOCO
76892,YUMBO
76895,ZARZAL
81001,ARAUCA
81065,ARAUQUITA
81220,CRAVO NORTE
81300,FORTUL
81591,PUERTO RONDON
81736,SARAVENA
81794,TAME
85001,YOPAL
85010,AGUAZUL
85015,CHAMEZA
85125,HATO COROZAL
85136,LA SALINA
85139,MANI
85162,MONTERREY
85225,NUNCHIA
85230,OROCUE
85250,PAZ DE ARIPORO
85263,PORE
85279,RECETOR
85300,SABANALARGA
85315,SACAMA
85325,SAN LUIS DE PALENQUE
85400,TAMARA
85410,TAURAMENA
85430,TRINIDAD
85440,VILLANUEVA
86001,MOCOA
86219,COLON
86320,ORITO
86568,PUERTO ASIS
86569,PUERTO CAICEDO
86571,PUERTO GUZMAN
86573,LEGUIZAMO
86749,SIBUNDOY
86755,SAN FRANCISCO
86757,SAN MIGUEL
86760,SANTIAGO
86865,VALLE DEL GUAMUEZ
86885,VILLAGARZON
88001,SAN ANDRES
88564,PROVIDENCIA
91001,LETICIA
91263,EL ENCANTO
91405,LA CHORRERA
91407,LA PEDRERA
91430,LA VICTORIA
91460,MIRITI - PARANA
91530,PUERTO ALEGRIA
91536,PUERTO ARICA
91540,PUERTO NARIÑO
91669,PUERTO SANTANDER
91798,TARAPACA
94001,INIRIDA
94343,BARRANCO MINAS
94663,MAPIRIPANA
94883,SAN FELIPE
94884,PUERTO COLOMBIA
94885,LA GUADALUPE
94886,CACAHUAL
94887,PANA PANA
94888,MORICHAL
95001,SAN JOSE DEL GUAVIARE
95015,CALAMAR
95025,EL RETORNO
95200,MIRAFLORES
97001,MITU
97161,CARURU
97511,PACOA
97666,TARAIRA
97777,PAPUNAUA
97889,YAVARATE
99001,PUERTO CARREÑO
99524,LA PRIMAVERA
99624,SANTA ROSALIA
99773,CUMARIBO
